,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
25,ms,smoothed_cli,2020-04-07,,2020-09-03,149,0.907656,0.1222617,4337.7626,state,fb-survey
26,mt,smoothed_cli,2020-04-07,,2020-09-03,149,1.1098644,0.2119049,1949.3687,state,fb-survey
27,nc,smoothed_cli,2020-04-07,,2020-09-03,149,0.7075759,0.0736192,9729.0084,state,fb-survey
28,nd,smoothed_cli,2020-04-07,,2020-09-03,149,0.871605,0.2290639,1197.5557,state,fb-survey
29,ne,smoothed_cli,2020-04-07,,2020-09-03,149,1.1483404,0.1696649,2994.6091,state,fb-survey
30,nh,smoothed_cli,2020-04-07,,2020-09-03,149,0.7646147,0.145292,2396.7766,state,fb-survey
31,nj,smoothed_cli,2020-04-07,,2020-09-03,149,1.1303048,0.0885676,10272.9933,state,fb-survey
32,nm,smoothed_cli,2020-04-07,,2020-09-03,149,0.5928509,0.1138887,3016.0423,state,fb-survey
33,nv,smoothed_cli,2020-04-07,,2020-09-03,149,0.983303,0.1237813,4881.1561,state,fb-survey
34,ny,smoothed_cli,2020-04-07,,2020-09-03,149,1.6109236,0.1158929,8651.0011,state,fb-survey
35,oh,smoothed_cli,2020-04-07,,2020-09-03,149,0.8676319,0.0735748,11915.9981,state,fb-survey
36,ok,smoothed_cli,2020-04-07,,2020-09-03,149,0.98006,0.1038643,6686.2827,state,fb-survey
37,or,smoothed_cli,2020-04-07,,2020-09-03,149,1.1172655,0.1072837,7158.5277,state,fb-survey
38,pa,smoothed_cli,2020-04-07,,2020-09-03,149,0.6994632,0.0642551,12749.0084,state,fb-survey
39,ri,smoothed_cli,2020-04-07,,2020-09-03,149,0.541811,0.1571461,1661.9735,state,fb-survey
40,sc,smoothed_cli,2020-04-07,,2020-09-03,149,0.7596127,0.0842316,7996.0068,state,fb-survey
41,sd,smoothed_cli,2020-04-07,,2020-09-03,149,1.3122257,0.2566204,1342.8792,state,fb-survey
42,tn,smoothed_cli,2020-04-07,,2020-09-03,149,0.7965457,0.0770605,10223.8929,state,fb-survey
43,tx,smoothed_cli,2020-04-07,,2020-09-03,149,0.8106985,0.0765425,9956.9876,state,fb-survey
44,ut,smoothed_cli,2020-04-07,,2020-09-03,149,0.8110101,0.1061214,4845.7935,state,fb-survey
45,va,smoothed_cli,2020-04-07,,2020-09-03,149,0.7327855,0.0692396,10966.2255,state,fb-survey
46,vt,smoothed_cli,2020-04-07,,2020-09-03,149,0.6339558,0.2172609,1070.0011,state,fb-survey
47,wa,smoothed_cli,2020-04-07,,2020-09-03,149,0.8545696,0.0730492,11864.9365,state,fb-survey
48,wi,smoothed_cli,2020-04-07,,2020-09-03,149,0.8897827,0.0843161,9521.9941,state,fb-survey
49,wv,smoothed_cli,2020-04-07,,2020-09-03,149,0.626513,0.1122696,3662.4421,state,fb-survey
50,wy,smoothed_cli,2020-04-07,,2020-09-03,149,1.2378503,0.299368,1018.6084,state,fb-survey
0,ak,smoothed_cli,2020-04-08,,2020-09-03,148,1.0040782,0.2021256,1985.0,state,fb-survey
1,al,smoothed_cli,2020-04-08,,2020-09-03,148,0.7521305,0.0661984,12476.237,state,fb-survey
2,ar,smoothed_cli,2020-04-08,,2020-09-03,148,0.9516634,0.0960925,7776.3826,state,fb-survey
3,az,smoothed_cli,2020-04-08,,2020-09-03,148,0.9741202,0.0655831,16514.4887,state,fb-survey
4,ca,smoothed_cli,2020-04-08,,2020-09-03,148,0.7421559,0.0597178,15728.9819,state,fb-survey
5,co,smoothed_cli,2020-04-08,,2020-09-03,148,1.323541,0.076904,16525.5203,state,fb-survey
6,ct,smoothed_cli,2020-04-08,,2020-09-03,148,0.938538,0.0876958,8855.0,state,fb-survey
7,dc,smoothed_cli,2020-04-08,,2020-09-03,148,0.447065,0.1402471,1590.0,state,fb-survey
8,de,smoothed_cli,2020-04-08,,2020-09-03,148,0.6478601,0.1357881,2614.0365,state,fb-survey
9,fl,smoothed_cli,2020-04-08,,2020-09-03,148,0.6810326,0.0532112,17850.0014,state,fb-survey
10,ga,smoothed_cli,2020-04-08,,2020-09-03,148,0.7237772,0.0572961,15569.8877,state,fb-survey
11,hi,smoothed_cli,2020-04-08,,2020-09-03,148,0.6668739,0.1316445,2804.0,state,fb-survey
12,ia,smoothed_cli,2020-04-08,,2020-09-03,148,1.1060591,0.0948188,8901.949,state,fb-survey
13,id,smoothed_cli,2020-04-08,,2020-09-03,148,1.2109158,0.1356532,4775.1615,state,fb-survey
14,il,smoothed_cli,2020-04-08,,2020-09-03,148,0.8731022,0.0612446,17170.1121,state,fb-survey
15,in,smoothed_cli,2020-04-08,,2020-09-03,148,1.04968,0.0634486,18888.0171,state,fb-survey
